iter	Passed	Remaining
766	4130	2331
767	4135	2326
768	4140	2320
769	4145	2314
770	4150	2309
771	4155	2303
772	4160	2298
773	4165	2292
774	4170	2286
775	4175	2281
776	4180	2275
777	4184	2269
778	4189	2264
779	4194	2258
780	4199	2253
781	4204	2247
782	4209	2241
783	4213	2235
784	4218	2230
785	4224	2224
786	4228	2219
787	4233	2213
788	4238	2207
789	4243	2202
790	4248	2196
791	4253	2190
792	4258	2185
793	4263	2179
794	4267	2174
795	4273	2168
796	4278	2163
797	4283	2157
798	4288	2152
799	4293	2146
800	4298	2141
801	4303	2135
802	4308	2130
803	4313	2124
804	4318	2118
805	4323	2113
806	4328	2107
807	4332	2102
808	4337	2096
809	4342	2090
810	4347	2085
811	4352	2079
812	4357	2074
813	4362	2068
814	4367	2063
815	4372	2057
816	4377	2052
817	4382	2046
818	4386	2040
819	4391	2035
820	4396	2029
821	4401	2024
822	4406	2018
823	4411	2012
824	4416	2007
825	4421	2002
826	4426	1996
827	4431	1991
828	4436	1985
829	4441	1979
830	4446	1974
831	4451	1968
832	4455	1963
833	4460	1957
834	4465	1952
835	4470	1946
836	4475	1940
837	4480	1935
838	4485	1929
839	4490	1924
840	4495	1918
841	4500	1913
842	4505	1908
843	4510	1902
844	4515	1896
845	4519	1891
846	4524	1885
847	4529	1880
848	4534	1874
849	4539	1869
850	4544	1863
851	4549	1858
852	4554	1852
853	4559	1847
854	4563	1841
855	4568	1836
856	4573	1830
857	4578	1824
858	4583	1819
859	4587	1813
860	4592	1808
861	4597	1802
862	4602	1797
863	4607	1791
864	4612	1786
865	4617	1780
866	4621	1775
867	4626	1769
868	4631	1764
869	4636	1758
870	4641	1753
871	4645	1747
872	4650	1741
873	4655	1736
874	4659	1730
875	4665	1725
876	4669	1719
877	4674	1714
878	4679	1708
879	4684	1703
880	4689	1697
881	4693	1692
882	4698	1686
883	4703	1681
884	4708	1675
885	4713	1670
886	4718	1664
887	4722	1659
888	4727	1653
889	4732	1648
890	4737	1643
891	4742	1637
892	4747	1632
893	4752	1626
894	4757	1621
895	4762	1615
896	4766	1610
897	4771	1604
898	4776	1599
899	4781	1593
900	4786	1588
901	4790	1582
902	4795	1577
903	4800	1571
904	4805	1566
905	4810	1560
906	4814	1555
907	4820	1550
908	4824	1544
909	4829	1539
910	4834	1533
911	4839	1528
912	4844	1522
913	4848	1517
914	4853	1511
915	4858	1506
916	4863	1500
917	4868	1495
918	4872	1489
919	4877	1484
920	4883	1479
921	4888	1473
922	4892	1468
923	4897	1462
924	4902	1457
925	4907	1452
926	4912	1446
927	4916	1441
928	4921	1435
929	4926	1430
930	4931	1424
931	4936	1419
932	4940	1413
933	4945	1408
934	4950	1403
935	4955	1397
936	4960	1392
937	4965	1386
938	4970	1381
939	4975	1376
940	4980	1370
941	4985	1365
942	4990	1359
943	4994	1354
944	4999	1349
945	5004	1343
946	5009	1338
947	5014	1332
948	5018	1327
949	5023	1322
950	5029	1316
951	5034	1311
952	5039	1306
953	5044	1300
954	5048	1295
955	5054	1289
956	5058	1284
957	5063	1279
958	5068	1273
959	5073	1268
960	5078	1263
961	5083	1257
962	5088	1252
963	5093	1246
964	5098	1241
965	5103	1236
966	5108	1230
967	5113	1225
968	5118	1220
969	5122	1214
970	5127	1209
971	5132	1203
972	5137	1198
973	5142	1193
974	5147	1187
975	5152	1182
976	5157	1177
977	5162	1171
978	5167	1166
979	5172	1161
980	5177	1155
981	5182	1150
982	5187	1145
983	5192	1139
984	5197	1134
985	5202	1129
986	5207	1123
987	5212	1118
988	5217	1113
989	5222	1107
990	5227	1102
991	5232	1097
992	5237	1091
993	5242	1086
994	5247	1081
995	5252	1075
996	5256	1070
997	5261	1064
998	5266	1059
999	5271	1054
1000	5276	1048
1001	5281	1043
1002	5286	1038
1003	5291	1032
1004	5295	1027
1005	5301	1022
1006	5306	1016
1007	5311	1011
1008	5315	1006
1009	5320	1000
1010	5325	995
1011	5330	990
1012	5335	984
1013	5339	979
1014	5344	974
1015	5349	968
1016	5354	963
1017	5359	958
1018	5364	952
1019	5369	947
1020	5373	942
1021	5378	936
1022	5383	931
1023	5388	926
1024	5393	920
1025	5398	915
1026	5403	910
1027	5408	904
1028	5413	899
1029	5418	894
1030	5422	888
1031	5427	883
1032	5432	878
1033	5437	872
1034	5442	867
1035	5447	862
1036	5452	856
1037	5457	851
1038	5462	846
1039	5467	841
1040	5473	835
1041	5478	830
1042	5483	825
1043	5488	820
1044	5493	814
1045	5498	809
1046	5504	804
1047	5509	799
1048	5514	793
1049	5519	788
1050	5524	783
1051	5529	777
1052	5534	772
1053	5539	767
1054	5544	762
1055	5549	756
1056	5554	751
1057	5560	746
1058	5564	740
1059	5569	735
1060	5574	730
1061	5579	725
1062	5584	719
1063	5589	714
1064	5594	709
1065	5599	703
1066	5604	698
1067	5609	693
1068	5614	688
1069	5619	682
1070	5624	677
1071	5629	672
1072	5634	666
1073	5638	661
1074	5643	656
1075	5648	650
1076	5653	645
1077	5658	640
1078	5663	635
1079	5668	629
1080	5673	624
1081	5678	619
1082	5683	614
1083	5688	608
1084	5693	603
1085	5698	598
1086	5703	592
1087	5708	587
1088	5712	582
1089	5717	577
1090	5722	571
1091	5727	566
1092	5732	561
1093	5737	555
1094	5742	550
1095	5747	545
1096	5751	540
1097	5756	534
1098	5761	529
1099	5766	524
1100	5772	519
1101	5777	513
1102	5781	508
1103	5786	503
1104	5791	497
1105	5796	492
1106	5801	487
1107	5806	482
1108	5811	476
1109	5816	471
1110	5821	466
1111	5827	461
1112	5832	455
1113	5837	450
1114	5842	445
1115	5847	440
1116	5853	434
1117	5858	429
1118	5863	424
1119	5868	419
1120	5873	413
1121	5878	408
1122	5884	403
1123	5889	398
1124	5894	392
1125	5900	387
1126	5905	382
1127	5910	377
1128	5915	372
1129	5920	366
1130	5925	361
1131	5930	356
1132	5934	350
1133	5939	345
1134	5944	340
1135	5949	335
1136	5954	329
1137	5958	324
1138	5963	319
1139	5968	314
1140	5973	308
1141	5977	303
1142	5983	298
1143	5988	293
1144	5993	287
1145	5998	282
1146	6003	277
1147	6008	272
1148	6013	266
1149	6018	261
1150	6023	256
1151	6028	251
1152	6033	245
1153	6038	240
1154	6044	235
1155	6051	230
1156	6056	225
1157	6061	219
1158	6065	214
1159	6070	209
1160	6075	204
1161	6081	198
1162	6085	193
1163	6091	188
1164	6096	183
1165	6102	177
1166	6107	172
1167	6113	167
1168	6118	162
1169	6124	157
1170	6129	151
1171	6134	146
1172	6139	141
1173	6143	136
1174	6148	130
1175	6153	125
1176	6158	120
1177	6163	115
1178	6168	109
1179	6173	104
1180	6178	99
1181	6183	94
1182	6188	88
1183	6192	83
1184	6198	78
1185	6203	73
1186	6208	67
1187	6213	62
1188	6217	57
1189	6222	52
1190	6227	47
1191	6232	41
1192	6237	36
1193	6242	31
1194	6247	26
1195	6252	20
1196	6257	15
1197	6262	10
1198	6267	5
1199	6272	0
